업종명,업소명,소재지(도로명),소재지(지번),소재지전화,업태명
일반음식점,페리카나통닭,충청남도 천안시 서북구 성환읍 성환중앙로 49,충청남도 천안시 서북구 성환읍 성환리 345-3 , 041- 581-8200,통닭(치킨)
일반음식점,처갓집양념치킨성정점,충청남도 천안시 서북구 서부16길 14 (성정동),충청남도 천안시 서북구 성정동 652-3 ,0041-0576-0230,호프/통닭
일반음식점,한촌설렁탕,충청남도 천안시 서북구 미라5길 32 (쌍용동),충청남도 천안시 서북구 쌍용동 1255 ,0041-0567-5871,한식
일반음식점,쌈마니,충청남도 천안시 서북구 봉정로 251 (성정동),충청남도 천안시 서북구 성정동 633-6 ,041 -577 -7798,한식
일반음식점,가본풍천민물장어직판장,충청남도 천안시 서북구 천안대로 1212 (신당동),충청남도 천안시 서북구 신당동 256 ,0041-0556-6446,식육(숯불구이)
일반음식점,주공반점,충청남도 천안시 서북구 성정13길 18 (성정동),충청남도 천안시 서북구 성정동 708-3 , 041- 575-4017,중국식
일반음식점,옛날집,충청남도 천안시 서북구 봉정로 81 (성정동),충청남도 천안시 서북구 성정동 213-2 ,0041-0567-5059,한식
일반음식점,성복식당,충청남도 천안시 서북구 봉정로 130 (성정동),충청남도 천안시 서북구 성정동 193-10 ,,한식
일반음식점,부송공단식당,충청남도 천안시 서북구 직산읍 부송1길 54,충청남도 천안시 서북구 직산읍 부송리 72-17 ,,한식
일반음식점,처갓집양념치킨직산점,충청남도 천안시 서북구 성거읍 봉주로 111 (외 1필지),충청남도 천안시 서북구 성거읍 신월리 8-6 외 1필지 , 041- 583-6161,호프/통닭
일반음식점,부대통닭,"충청남도 천안시 서북구 입장면 입장로 151, 1층",충청남도 천안시 서북구 입장면 하장리 45-20 ,,통닭(치킨)
일반음식점,마리노피자치킨,"충청남도 천안시 서북구 성거읍 성거길 72, 1층",충청남도 천안시 서북구 성거읍 천흥리 433-1 , 041- 622-0541,통닭(치킨)
일반음식점,늘봄숯불갈비,"충청남도 천안시 서북구 성환읍 성환9길 6, 1층",충청남도 천안시 서북구 성환읍 성환리 449-199 ,041 -581 -4131,한식
일반음식점,모델라인,"충청남도 천안시 서북구 백석로 269, 1층 (성정동)",충청남도 천안시 서북구 성정동 683-13 1층 ,,까페
일반음식점,황홀한막창앤뒷고기성정점,충청남도 천안시 서북구 서부3길 36 (성정동),충청남도 천안시 서북구 성정동 656-15 ,041 -592 -4500,한식
일반음식점,양지호프치킨,충청남도 천안시 서북구 봉정로 224-6 (성정동),충청남도 천안시 서북구 성정동 663-2 ,0041-0577-8609,호프/통닭
일반음식점,풀리,충청남도 천안시 서북구 백석로 85-2 (백석동),충청남도 천안시 서북구 백석동 148-7 ,041 -556 -1230,한식
일반음식점,조아조아호프,충청남도 천안시 서북구 서부14길 3 (성정동),충청남도 천안시 서북구 성정동 648-7 ,041 -573 -4523,호프/통닭
일반음식점,지짐이,"충청남도 천안시 서북구 성정로 66, 2동 1층 (성정동)",충청남도 천안시 서북구 성정동 726-1 (2동 1층) ,041 -579 -1093,정종/대포집/소주방
일반음식점,남원추어탕,충청남도 천안시 서북구 쌍용대로 308-2 (성정동),충청남도 천안시 서북구 성정동 619-13 ,041 -578 -2077,한식
일반음식점,떳다횟집,충청남도 천안시 서북구 천안대로 1016 (두정동),충청남도 천안시 서북구 두정동 25-77 ,041 -567 -2919,횟집
일반음식점,영달이,충청남도 천안시 서북구 성정15길 20 (성정동),충청남도 천안시 서북구 성정동 697-5 ,,한식
일반음식점,김밥하우스,충청남도 천안시 서북구 서부16길 56 (성정동),충청남도 천안시 서북구 성정동 658-2 ,0041-0553-4860,한식
일반음식점,토담길구이점,,충청남도 천안시 서북구 성정동 791 ,,호프/통닭
일반음식점,올빼미주유소,충청남도 천안시 서북구 쌍용대로 298-1 (성정동),충청남도 천안시 서북구 성정동 647-10 ,,호프/통닭
일반음식점,송하아구찜 간장게장,충청남도 천안시 서북구 서부13길 24 (성정동),충청남도 천안시 서북구 성정동 671-5 ,041 -577 -2776,한식
일반음식점,양지골,충청남도 천안시 서북구 성정4길 49 (성정동),충청남도 천안시 서북구 성정동 700-5 ,,한식
일반음식점,한일분식,충청남도 천안시 서북구 성환읍 성환1로 222,충청남도 천안시 서북구 성환읍 성환리 449-112 ,,분식
일반음식점,족이랑밥이랑,충청남도 천안시 서북구 입장면 하장4길 12,충청남도 천안시 서북구 입장면 하장리 48-4 ,0041-0584-9892,한식
일반음식점,수원갈비,충청남도 천안시 서북구 성환읍 성환11길 56,충청남도 천안시 서북구 성환읍 성환리 393-18 ,041 -581 -0681,식육(숯불구이)
일반음식점,약속분식,"충청남도 천안시 서북구 성환읍 성환11길 26 (, 5, 7)","충청남도 천안시 서북구 성환읍 성환리 354-3 , 5, 7 ",,분식
일반음식점,위스키나이트,충청남도 천안시 서북구 입장면 입장로 141,충청남도 천안시 서북구 입장면 하장리 61-6 ,041 -584 -1921,호프/통닭
일반음식점,부자순대,충청남도 천안시 서북구 서부17길 19 (성정동),충청남도 천안시 서북구 성정동 620-16 ,041 -579 -9889,한식
일반음식점,이서방토종닭,충청남도 천안시 서북구 성성3길 13 (성성동),충청남도 천안시 서북구 성성동 238-1 ,0041-0552-0346,한식
일반음식점,장수식당,충청남도 천안시 서북구 봉정로 243 (성정동),충청남도 천안시 서북구 성정동 641-8 , 041- 575-9358,한식
일반음식점,신화오돌뼈앤닭발,충청남도 천안시 서북구 양지15길 67 (성정동),충청남도 천안시 서북구 성정동 745-5 ,,한식
일반음식점,신당전원식당,충청남도 천안시 서북구 천일고2길 147 (신당동),충청남도 천안시 서북구 신당동 469-1 ,0041-0568-2785,한식
일반음식점,산방식당,충청남도 천안시 서북구 쌍용대로 298-1 (성정동),충청남도 천안시 서북구 성정동 647-10 ,0041-0573-2466,한식
일반음식점,신흥부반점,충청남도 천안시 서북구 서부6길 16 (성정동),충청남도 천안시 서북구 성정동 689-15 , 041- 578-3974,중국식
일반음식점,보리경식당,충청남도 천안시 서북구 도원6길 3 (성정동),충청남도 천안시 서북구 성정동 895-1 ,,한식
일반음식점,수원갈비홈런,충청남도 천안시 서북구 서부1길 56 (성정동),충청남도 천안시 서북구 성정동 646-1 ,,한식
일반음식점,돈킹돈까스,충청남도 천안시 서북구 서부1길 54 (성정동),충청남도 천안시 서북구 성정동 646-16 ,0041-0573-9808,한식
일반음식점,삽교두리곱창,충청남도 천안시 서북구 봉정로 213 (성정동),충청남도 천안시 서북구 성정동 660-8 ,,한식
일반음식점,류박사아구전문,충청남도 천안시 서북구 서부14길 60-1 (성정동),충청남도 천안시 서북구 성정동 665-17 ,,한식
일반음식점,경성일번가,충청남도 천안시 서북구 원두정9길 10 (두정동),충청남도 천안시 서북구 두정동 926 ,,호프/통닭
일반음식점,우성해장국,"충청남도 천안시 서북구 봉정로 208, 1층 (성정동)",충청남도 천안시 서북구 성정동 664-15 ,,한식
일반음식점,흥타령전타령,충청남도 천안시 서북구 봉정로 224-5 (성정동),충청남도 천안시 서북구 성정동 662-9 ,,한식
일반음식점,천안자매곱창성정본점,충청남도 천안시 서북구 서부16길 11 (성정동),충청남도 천안시 서북구 성정동 646-11 ,0041-0572-4168,한식
일반음식점,본구이서북구점,"충청남도 천안시 서북구 천안대로 1170, 1층 (부대동)",충청남도 천안시 서북구 부대동 99-2 ,,한식
일반음식점,신승우수타중화요리전문점,충청남도 천안시 서북구 서부19길 52 (성정동),충청남도 천안시 서북구 성정동 642-2 ,0507-1275-0299,중국식
일반음식점,다솔식당,충청남도 천안시 서북구 성환읍 연암로 148,충청남도 천안시 서북구 성환읍 수향리 192-3 외1필지 ,041 -581 -0044,한식
일반음식점,시름세할매묵집,충청남도 천안시 서북구 직산읍 군수1길 5,충청남도 천안시 서북구 직산읍 수헐리 7-18 ,041 -581 -8709,한식
일반음식점,호반휴게소,충청남도 천안시 서북구 성환읍 성월수향길 258-2,충청남도 천안시 서북구 성환읍 대홍리 140-22 ,,한식
일반음식점,입장에서먹자,충청남도 천안시 서북구 입장면 입장시장2길 4,충청남도 천안시 서북구 입장면 하장리 43-4 ,,호프/통닭
일반음식점,남도식당,충청남도 천안시 서북구 입장면 하장4길 39-7,충청남도 천안시 서북구 입장면 하장리 101-7 ,,한식
일반음식점,오쩜이엔푸드,충청남도 천안시 서북구 성환읍 성환11길 60,충청남도 천안시 서북구 성환읍 성환리 392-12 ,,분식
일반음식점,성지가든,충청남도 천안시 서북구 입장면 입장로 233-4,충청남도 천안시 서북구 입장면 유리 69-3 ,041 -584 -4916,한식
일반음식점,동백집,충청남도 천안시 서북구 성환읍 성환중앙로 76,충청남도 천안시 서북구 성환읍 성환리 278-3 , 041- 581-4268,한식
일반음식점,통통치킨,충청남도 천안시 서북구 직산읍 송기길 31,충청남도 천안시 서북구 직산읍 부송리 60-44 ,0041-0583-4030,호프/통닭
일반음식점,웰빙토종순대,"충청남도 천안시 서북구 성환읍 성환3로 39 (,9)","충청남도 천안시 서북구 성환읍 성환리 365-7 ,9 ",041 -581 -6310,한식
일반음식점,명인임실치즈피자,충청남도 천안시 서북구 성환읍 성환1로 229-2,충청남도 천안시 서북구 성환읍 성환리 449-116 ,,기타
일반음식점,원조양지식당,충청남도 천안시 서북구 미라9길 9 (쌍용동),충청남도 천안시 서북구 쌍용동 1069 ,0041-0576-7035,한식
일반음식점,나리식당,,충청남도 천안시 서북구 성정동 628-12 ,0041-0575-5263,한식
일반음식점,진달래식당,"충청남도 천안시 서북구 성정11길 19 (성정동,(1층))",충청남도 천안시 서북구 성정동 709-10 (1층) ,,한식
일반음식점,송촌식당,충청남도 천안시 서북구 봉정로 120-6 (성정동),충청남도 천안시 서북구 성정동 193-19 ,0041-0576-0058,한식
일반음식점,바다양푼이동태탕찜,"충청남도 천안시 서북구 봉정로 97-1, 1층 (성정동)",충청남도 천안시 서북구 성정동 744-5 ,041 -575 -9263,한식
일반음식점,쌍용뚝배기,충청남도 천안시 서북구 미라6길 25 (쌍용동),충청남도 천안시 서북구 쌍용동 1144 ,0041-0575-2111,한식
일반음식점,허니토스트,충청남도 천안시 서북구 봉서5길 2 (쌍용동),충청남도 천안시 서북구 쌍용동 826 ,041 -900 -1979,분식
일반음식점,엄마치킨,충청남도 천안시 서북구 봉서5길 15 (쌍용동),충청남도 천안시 서북구 쌍용동 795 ,041 -574 -8749,한식
일반음식점,삼성손칼국수,"충청남도 천안시 서북구 서부4길 5, 1층 (성정동)",충청남도 천안시 서북구 성정동 683-5 ,0041-0562-2063,한식
일반음식점,삼보어죽,충청남도 천안시 서북구 서부8길 40 (성정동),충청남도 천안시 서북구 성정동 688-1 ,0041-0572-7842,한식
일반음식점,정통집쌍용점,충청남도 천안시 서북구 미라2길 40 (쌍용동),충청남도 천안시 서북구 쌍용동 1155 ,0041-0571-1030,분식
일반음식점,온양분식,충청남도 천안시 서북구 성환읍 성환1로 263,충청남도 천안시 서북구 성환읍 성환리 449-258 ,,분식
일반음식점,용천가든,충청남도 천안시 서북구 입장면 성진로 637,충청남도 천안시 서북구 입장면 신두리 398-4 , 041- 585-8959,한식
일반음식점,용자네식당,,충청남도 천안시 서북구 성환읍 성환리 449-474 ,,기타
일반음식점,대홍기사식당,충청남도 천안시 서북구 성환읍 천안대로 2345,충청남도 천안시 서북구 성환읍 수향리 430-16 ,,한식
일반음식점,청용유원지가든,충청남도 천안시 서북구 입장면 성진로 1447-15,충청남도 천안시 서북구 입장면 도림리 17-2 ,,한식
일반음식점,롯데리아직산점,충청남도 천안시 서북구 직산읍 봉주로 38,충청남도 천안시 서북구 직산읍 삼은리 356 ,,한식
일반음식점,샘터식당,충청남도 천안시 서북구 성환읍 천안대로 2347,충청남도 천안시 서북구 성환읍 수향리 430-12 ,,한식
일반음식점,미니스톱입장기로점,충청남도 천안시 서북구 입장면 성진로 994 ((1층)),충청남도 천안시 서북구 입장면 기로리 285-20 (1층) ,0041-0564-4583,한식
일반음식점,부어라마셔라,충청남도 천안시 서북구 직산읍 천안대로 1735,충청남도 천안시 서북구 직산읍 수헐리 11-3 ,041 -587 -3687,정종/대포집/소주방
일반음식점,청송분식,충청남도 천안시 서북구 성환읍 성환중앙로 11,충청남도 천안시 서북구 성환읍 성환리 449-109 ,,한식
일반음식점,또또왕족발,충청남도 천안시 서북구 성환읍 성환중앙로 17,충청남도 천안시 서북구 성환읍 성환리 449-58 ,,한식
일반음식점,카페메종,"충청남도 천안시 서북구 백석로 136 (백석동,현대상가 2층)",충청남도 천안시 서북구 백석동 191-3 현대상가 2층 ,0041-5419- 077,호프/통닭
일반음식점,남원추어탕,충청남도 천안시 서북구 성정4길 11 (성정동),충청남도 천안시 서북구 성정동 718-3 ,0041-0567-1623,한식
일반음식점,윤씨네콩밭,충청남도 천안시 서북구 서부8길 33 (성정동),충청남도 천안시 서북구 성정동 685-12 ,0041-0577-2060,한식
일반음식점,쌍용봉평막국수,"충청남도 천안시 서북구 미라2길 3, 1층 (쌍용동)",충청남도 천안시 서북구 쌍용동 1248 가동 1층 ,041 -576 -6262,한식
일반음식점,수레터김치찌개,충청남도 천안시 서북구 2공단1로 62 (성성동),충청남도 천안시 서북구 성성동 483-22 ,0041-0551-2043,한식
일반음식점,뉴캐슬출장부페,"충청남도 천안시 서북구 서부8길 11, 2층 (성정동)",충청남도 천안시 서북구 성정동 679-23 ,0041-0578-1119,뷔페식
일반음식점,드리비어,충청남도 천안시 서북구 서부6길 40 (성정동),충청남도 천안시 서북구 성정동 660-1 ,0041-0563-9495,호프/통닭
일반음식점,맛통실내포차,충청남도 천안시 서북구 양지18길 9 (성정동),충청남도 천안시 서북구 성정동 742-3 ,0041-0572-7238,일식
일반음식점,페리카나주공7단지지점,"충청남도 천안시 서북구 쌍용11길 57 (쌍용동,주공아파트 임대상가 1층109호)",충청남도 천안시 서북구 쌍용동 1284 주공아파트 임대상가 1층109호 ,0041-0571-1137,호프/통닭
일반음식점,잔비어스,"충청남도 천안시 서북구 성정5길 13, H&C빌딩 1동 1층 (성정동)",충청남도 천안시 서북구 성정동 712-3 H&C빌딩 ,041 -575 -7477,호프/통닭
일반음식점,강나루가든,충청남도 천안시 서북구 천안대로 1212 (신당동),충청남도 천안시 서북구 신당동 257-11 ,,한식
일반음식점,나무오향족발,충청남도 천안시 서북구 서부1길 62 (성정동),충청남도 천안시 서북구 성정동 645-1 ,,한식
일반음식점,큰맘할매순대국천안두정점,충청남도 천안시 서북구 두정로 265 (두정동),충청남도 천안시 서북구 두정동 162-8 두정당구장 ,0041-0554-0604,한식
일반음식점,뚝배기 순대국,충청남도 천안시 서북구 양지22길 41 (성정동),충청남도 천안시 서북구 성정동 727-10 ,0041-0555-3224,한식
일반음식점,고속물갈비,충청남도 천안시 서북구 미라7길 27 (쌍용동),충청남도 천안시 서북구 쌍용동 1150 ,0041-0571-6600,정종/대포집/소주방
일반음식점,청룡회관,충청남도 천안시 서북구 도원5길 15 (성정동),충청남도 천안시 서북구 성정동 918 ,0041-0552-6160,한식
일반음식점,따뜻한집밥,충청남도 천안시 서북구 서부15길 2 (성정동),충청남도 천안시 서북구 성정동 651-14 ,,한식
일반음식점,옛손칼국수,충청남도 천안시 서북구 봉정로 135 (성정동),충청남도 천안시 서북구 성정동 731-12 ,0041-0551-1783,한식
일반음식점,대전월평동양푼이동태1호점,충청남도 천안시 서북구 성정로 45 (성정동),충청남도 천안시 서북구 성정동 722-7 ,041 -575 -0366,한식
일반음식점,치킨먹는날,충청남도 천안시 서북구 봉정로 107 (성정동),충청남도 천안시 서북구 성정동 743-3 ,,호프/통닭
일반음식점,보고또보고,충청남도 천안시 서북구 봉서5길 13 (쌍용동),충청남도 천안시 서북구 쌍용동 794 ,0041-0571-9234,호프/통닭
일반음식점,티엠비숯불닭바베큐,충청남도 천안시 서북구 봉명로 30 (쌍용동),충청남도 천안시 서북구 쌍용동 887 ,0041-0571-2262,호프/통닭
일반음식점,파삼412,"충청남도 천안시 서북구 쌍용대로 289-18 (성정동,외1필지 (1층))",충청남도 천안시 서북구 성정동 412-1 외1필지 (1층) ,0041-0571-3567,한식
일반음식점,지코바양념치킨,충청남도 천안시 서북구 다가말3길 20 (쌍용동),충청남도 천안시 서북구 쌍용동 541-17 ,0041-0575-9289,호프/통닭
일반음식점,비룡,"충청남도 천안시 서북구 개목10길 2, 1층 (성정동)",충청남도 천안시 서북구 성정동 1063-1 ,,한식
일반음식점,돌솥수라상,충청남도 천안시 서북구 다가말2길 9 (쌍용동),충청남도 천안시 서북구 쌍용동 541-18 ,0041-0552-4287,한식
일반음식점,고래면옥,"충청남도 천안시 서북구 백석로 222-1, 1층 (성정동)",충청남도 천안시 서북구 성정동 1007 ,0041-0574-6767,한식
일반음식점,충남식당,충청남도 천안시 서북구 서부15길 17 (성정동),충청남도 천안시 서북구 성정동 653-7 ,0041-0574-8730,한식
일반음식점,소문난꼬마김밥,충청남도 천안시 서북구 성환읍 성환2로 63,충청남도 천안시 서북구 성환읍 성환리 410-2 ,041 -585 -7979,분식
일반음식점,페리카나성거체인,충청남도 천안시 서북구 성거읍 성거길 90,충청남도 천안시 서북구 성거읍 천흥리 426-1 ,0041-0567-6568,호프/통닭
일반음식점,오븐에빠진닭천안직산점,충청남도 천안시 서북구 직산읍 삼은3길 24,충청남도 천안시 서북구 직산읍 삼은리 304 ,0041-0583-1199,통닭(치킨)
일반음식점,수원갈비,충청남도 천안시 서북구 성환읍 성환11길 56,충청남도 천안시 서북구 성환읍 성환리 393-18 ,0041-0582-1795,호프/통닭
일반음식점,즐거운밥집,"충청남도 천안시 서북구 직산읍 남산2길 145, 지하1층",충청남도 천안시 서북구 직산읍 남산리 산 76-2 ,0041-0583-3555,호프/통닭
일반음식점,청솔가든,충청남도 천안시 서북구 입장면 성진로 1447-23,충청남도 천안시 서북구 입장면 도림리 21-8 ,0041-0554-0624,한식
일반음식점,옥수사,"충청남도 천안시 서북구 입장면 성진로 754, 2층",충청남도 천안시 서북구 입장면 신덕리 4-2 2층 ,0041-0585-5566,한식
일반음식점,뚝배기해장국,충청남도 천안시 서북구 성환읍 성환1로 272-8,충청남도 천안시 서북구 성환읍 성환리 449-666 ,0041-0582-0620,한식
일반음식점,달래강민물어죽,충청남도 천안시 서북구 입장면 성진로 882,충청남도 천안시 서북구 입장면 하장리 12-1 ,041 -583 -7746,한식
일반음식점,대박식당,충청남도 천안시 서북구 성환읍 성환2로 63,충청남도 천안시 서북구 성환읍 성환리 410-2 ,0041-0582-1968,한식
일반음식점,동네잔치,충청남도 천안시 서북구 직산읍 봉주로 20-11,충청남도 천안시 서북구 직산읍 삼은리 76-219 ,0041-0583-1415,한식
일반음식점,섬마을횟집,충청남도 천안시 서북구 성거읍 성거길 135,충청남도 천안시 서북구 성거읍 저리 50-6 ,0041-0588-1773,한식
일반음식점,전통식당,"충청남도 천안시 서북구 직산읍 아랫말1길 3, 1층",충청남도 천안시 서북구 직산읍 삼은리 76-292 ,0041-0567-3560,분식
일반음식점,대명샤브샤브,충청남도 천안시 서북구 성거읍 석문길 14,충청남도 천안시 서북구 성거읍 요방리 170 ,0041-0557-1995,일식
일반음식점,명문각,충청남도 천안시 서북구 입장면 성진로 737,충청남도 천안시 서북구 입장면 신두리 20-6 ,041 -583 -3826,중국식
일반음식점,이화식당,충청남도 천안시 서북구 성환읍 성환12길 13-10,충청남도 천안시 서북구 성환읍 성환리 449-550 ,,한식
일반음식점,북경반점,,충청남도 천안시 서북구 직산읍 삼은리 76-133 ,041 -587 -6660,중국식
일반음식점,로뎀가든,충청남도 천안시 서북구 입장면 시장리1길 14,충청남도 천안시 서북구 입장면 시장리 2-9 , 041-0561-8094,한식
일반음식점,고향식당,충청남도 천안시 서북구 입장면 성진로 729,충청남도 천안시 서북구 입장면 신두리 23-2 ,,한식
일반음식점,장수왕족발,충청남도 천안시 서북구 성환읍 성환2로 108,충청남도 천안시 서북구 성환읍 성환리 375-9 ,0041-0582-2808,한식
일반음식점,유리카모메,"충청남도 천안시 서북구 직산읍 삼은3길 25, 104,105호","충청남도 천안시 서북구 직산읍 삼은리 72-53 104,105호 ",0041-0583-3807,일식
일반음식점,개미식당,충청남도 천안시 서북구 성거읍 동막골길 6,충청남도 천안시 서북구 성거읍 요방리 176-12 ,0041-0567-8846,한식
일반음식점,산아래,충청남도 천안시 서북구 성거읍 천흥4길 195-8,충청남도 천안시 서북구 성거읍 천흥리 27 , 041-622 -3040,한식
일반음식점,동굴가든,충청남도 천안시 서북구 성거읍 천흥4길 201-18,충청남도 천안시 서북구 성거읍 천흥리 21-1 ,0041-0622-9013,한식
일반음식점,시골집,충청남도 천안시 서북구 직산읍 산직촌길 7,충청남도 천안시 서북구 직산읍 판정리 349-7 ,,한식
일반음식점,구일미,"충청남도 천안시 서북구 직산읍 남산2길 145, 지하1층",충청남도 천안시 서북구 직산읍 남산리 산 76-2 ,0041-0552-8279,한식
일반음식점,구슬분식,"충청남도 천안시 서북구 공대길 13, 1층 (신당동)",충청남도 천안시 서북구 신당동 235-10 1층 ,,분식
일반음식점,페리카나 신당체인점,충청남도 천안시 서북구 천안대로 1220 (신당동),충청남도 천안시 서북구 신당동 271-9 ,0041-0553-9445,호프/통닭
일반음식점,청당골,충청남도 천안시 서북구 미라2길 48 (쌍용동),충청남도 천안시 서북구 쌍용동 1085 ,0041-0571-0183,한식
일반음식점,돈가네수육국밥,충청남도 천안시 서북구 천안대로 1226 (신당동),충청남도 천안시 서북구 신당동 271-1 ,0041-0553-4488,한식
일반음식점,수타루,"충청남도 천안시 서북구 천안대로 1340 (신당동,38)",충청남도 천안시 서북구 신당동 424-34 38 ,0041-0587-7788,중국식
