업소명,소재지(도로명),소재지(지번),소재지전화
서화식당,충청남도 천안시 동남구 큰시장길 38 (영성동),충청남도 천안시 동남구 영성동 91-10 ,041 -551 -4696
사거리식당,"충청남도 천안시 동남구 차돌로 90, 1동 1층 (다가동)",충청남도 천안시 동남구 다가동 352-11 1동 ,0041-0573-3850
인정받은불낙지,"충청남도 천안시 동남구 중앙로 16, 1층 (원성동)",충청남도 천안시 동남구 원성동 600-1 1층 , 041-554 -8288
나정식당,,충청남도 천안시 동남구 사직동 187-2 ,0041-0562-1305
영화식당,충청남도 천안시 동남구 삼룡천3길 96 (구성동),충청남도 천안시 동남구 구성동 473-3 , 041- 562-8423
은혜네칼국수,충청남도 천안시 동남구 공설시장3길 10 (대흥동),충청남도 천안시 동남구 대흥동 63-1 ,
유가네 내고향 붕어찜,충청남도 천안시 동남구 북면 충절로 1298,충청남도 천안시 동남구 북면 연춘리 114-4 ,0041-0553-8704
무지개식당,"충청남도 천안시 동남구 목천읍 종합휴양지로 95, 주건축물제1동 1층",충청남도 천안시 동남구 목천읍 운전리 561 주건축물 제1동 1층 ,041 -557 -8066
일광밥집,충청남도 천안시 동남구 원성16길 8 (원성동),충청남도 천안시 동남구 원성동 473-1 ,
석산장,충청남도 천안시 동남구 문화로 30 (문화동),충청남도 천안시 동남구 문화동 30-7 , 041- 551-7230
정애식당,충청남도 천안시 동남구 봉정로 28 (봉명동),충청남도 천안시 동남구 봉명동 39-17 ,0041-0572-2414
아래향,충청남도 천안시 동남구 천안여상로 47 (봉명동),충청남도 천안시 동남구 봉명동 40-206 , 041- 573-2783
명품오리,충청남도 천안시 동남구 원성2교길 22 (원성동),충청남도 천안시 동남구 원성동 551-8 ,0041-0553-1207
양평해장국목천점,충청남도 천안시 동남구 목천읍 충절로 821,충청남도 천안시 동남구 목천읍 신계리 318-24 ,041 -622 -4300
풍년식당,충청남도 천안시 동남구 풍세면 풍년길 43,충청남도 천안시 동남구 풍세면 풍서리 386-5 ,
태화식당,충청남도 천안시 동남구 광덕면 해수길 72,충청남도 천안시 동남구 광덕면 광덕리 650-19 ,
우리양념치킨,충청남도 천안시 동남구 성황로 92 (원성동),충청남도 천안시 동남구 원성동 461-4 ,
효성반점,충청남도 천안시 동남구 봉정로 32 (봉명동),충청남도 천안시 동남구 봉명동 42-16 ,0041-0574-1511
평택족발,충청남도 천안시 동남구 망향로 45-40 (신부동),충청남도 천안시 동남구 신부동 191-1 ,041 -567 -8080
금호식당,충청남도 천안시 동남구 청수2길 2 (청수동),충청남도 천안시 동남구 청수동 216-39 ,041 -562 -5711
독립로식당,,충청남도 천안시 동남구 삼룡동 134-11 ,
원조삽다리곱창,충청남도 천안시 동남구 차돌로 63 (봉명동),충청남도 천안시 동남구 봉명동 21-3 ,041 -572 -0326
풀무원푸드앤컬처중앙식당,"충청남도 천안시 동남구 목천읍 독립기념관로 1, 독립기념관",충청남도 천안시 동남구 목천읍 남화리 230-1 독립기념관 ,041 -560 -0722
백일관,"충청남도 천안시 동남구 목천읍 응원3길 11, 1층",충청남도 천안시 동남구 목천읍 응원리 51-6 1층 ,041 -558 -0820
고수닭갈비천안점,충청남도 천안시 동남구 먹거리10길 12 (신부동),충청남도 천안시 동남구 신부동 456-15 ,
팔보돌솥,충청남도 천안시 동남구 신부2길 8 (신부동),충청남도 천안시 동남구 신부동 475-1 ,0041-0567-9292
마로니에병천순대국밥,"충청남도 천안시 동남구 공설시장1길 20, 1층 (대흥동)",충청남도 천안시 동남구 대흥동 17-3 1층 ,    -551 -4743
나래옥,"충청남도 천안시 동남구 신부9길 11, 1층 (신부동)",충청남도 천안시 동남구 신부동 476-4 1층 ,041 -553 -8636
안가네어죽,충청남도 천안시 동남구 버들1길 17 (영성동),충청남도 천안시 동남구 영성동 133-4 ,041 - 551-1342
대도일식,충청남도 천안시 동남구 버들로 126 (원성동),충청남도 천안시 동남구 원성동 506 ,0041-0556-0033
삼양순대,충청남도 천안시 동남구 공설시장1길 9 (대흥동),충청남도 천안시 동남구 대흥동 60-5 ,0041-0551-9438
백년식당,충청남도 천안시 동남구 원거리1길 8 (영성동),충청남도 천안시 동남구 영성동 171-6 ,0041-0553-5895
내고향가든,충청남도 천안시 동남구 북면 위례성로 894,충청남도 천안시 동남구 북면 양곡리 521-1 ,
오페라웨딩홀뷔페,충청남도 천안시 동남구 원거리14길 4 (원성동),충청남도 천안시 동남구 원성동 315-13 ,041 - 561-0331
불판위의돼지,충청남도 천안시 동남구 수신면 수신로 423,충청남도 천안시 동남구 수신면 속창리 126-40 ,
현무관,충청남도 천안시 동남구 목천읍 학수소사길 209,충청남도 천안시 동남구 목천읍 소사리 214-7 ,
화신한식뷔페,충청남도 천안시 동남구 광덕면 차령고개로 1051,충청남도 천안시 동남구 광덕면 행정리 66 ,0041-0566-6597
광복가든,충청남도 천안시 동남구 목천읍 충절로 1107,충청남도 천안시 동남구 목천읍 운전리 351-9 , 041- 557-8232
산촌식당,"충청남도 천안시 동남구 광덕면 광덕사길 1, 1층",충청남도 천안시 동남구 광덕면 광덕리 646-4 ,
박가네,충청남도 천안시 동남구 목천읍 충절로 801-8,충청남도 천안시 동남구 목천읍 신계리 390-9 ,041 -555 -7706
수신반점,충청남도 천안시 동남구 수신면 수신로 429,충청남도 천안시 동남구 수신면 속창리 126-15 ,041 -522 -3722
불타는토스트,충청남도 천안시 동남구 목천읍 삼방로 144,충청남도 천안시 동남구 목천읍 남화리 1-2 ,
돼지네순대,"충청남도 천안시 동남구 병천면 충절로 1748, 1동 1층",충청남도 천안시 동남구 병천면 병천리 166-16 1동 1층 , 041- 564-1077
화빈반점,충청남도 천안시 동남구 복자1길 25-1 (성황동),충청남도 천안시 동남구 성황동 5-34 ,
너구리분식,"충청남도 천안시 동남구 버들로 지하 2 (대흥동,(43, 45호))","충청남도 천안시 동남구 대흥동 30-7 (43, 45호) ",
정동숯불갈비,충청남도 천안시 동남구 신용로 34 (다가동),충청남도 천안시 동남구 다가동 369-1 ,0041-0573-1297
물총칼국수,"충청남도 천안시 동남구 원성2교길 19-1, 1층 (원성동)",충청남도 천안시 동남구 원성동 308-4 1층 , 041- 558-6700
싸다돼지마을,충청남도 천안시 동남구 명동길 45-2 (대흥동),충청남도 천안시 동남구 대흥동 105-19 ,
여기가좋겠네,"충청남도 천안시 동남구 서부역6길 5-1, 1층 (봉명동)",충청남도 천안시 동남구 봉명동 49-18 ,041 -575 -4687
조양식당,충청남도 천안시 동남구 은행길 5-8 (대흥동),충청남도 천안시 동남구 대흥동 79-1 ,
영산포홍어,충청남도 천안시 동남구 구성12길 4 (구성동),충청남도 천안시 동남구 구성동 467-12 ,0041-0565-5013
완산골명가천안1호점,충청남도 천안시 동남구 만남로 43 (신부동),충청남도 천안시 동남구 신부동 354-1 ,041 -621 -1257
땡집,"충청남도 천안시 동남구 명동길 55-8, 1층 (대흥동)",충청남도 천안시 동남구 대흥동 79-3 1층 , 041- 562-9902
풍차식당,충청남도 천안시 동남구 동리길 16-3 (오룡동),충청남도 천안시 동남구 오룡동 122-3 ,0041-0561-3532
남산초교앞페리카나4호점,"충청남도 천안시 동남구 중앙로 67, 1층 (오룡동)",충청남도 천안시 동남구 오룡동 63-12 1 ,041 - 569-9415
웰빙마떡,충청남도 천안시 동남구 먹거리9길 26 (신부동),충청남도 천안시 동남구 신부동 465-2 , 041- 565-2941
신도회관,"충청남도 천안시 동남구 목천읍 충절로 1170, 2동 2층","충청남도 천안시 동남구 목천읍 동평리 83-1 외 1필지, 2동 2층 ",041 - 557-8282
토성식당,"충청남도 천안시 동남구 성남면 성남로 413, 1층",충청남도 천안시 동남구 성남면 신사리 549 1층 ,041 -565 -3883
응원식당,충청남도 천안시 동남구 목천읍 응원3길 11-3,충청남도 천안시 동남구 목천읍 응원리 51-5 ,    - 558-8080
자연누리성,"충청남도 천안시 동남구 광덕면 차령고개로 449, 1동 1층",충청남도 천안시 동남구 광덕면 원덕리 510 ,    - 552-7119
페리카나치킨3호점,충청남도 천안시 동남구 봉정로 18 (봉명동),충청남도 천안시 동남구 봉명동 40-27 ,
본가신촌설렁탕,충청남도 천안시 동남구 만남로 43 (신부동),충청남도 천안시 동남구 신부동 354-1 , 041- 567-9799
춘천막국수,충청남도 천안시 동남구 오룡길 4 (오룡동),충청남도 천안시 동남구 오룡동 141-4 ,0041-0551-8539
태양식당,충청남도 천안시 동남구 신부11길 22-1 (신부동),충청남도 천안시 동남구 신부동 484-19 ,0041-0567-7366
까치아구찜,충청남도 천안시 동남구 원거리6길 29 (원성동),충청남도 천안시 동남구 원성동 562-2 ,041 -565 -4151
봉명치킨,충청남도 천안시 동남구 봉정로 34 (봉명동),충청남도 천안시 동남구 봉명동 42-34 ,041 - 573-4768
블랙박스,"충청남도 천안시 동남구 버들로 127 (원성동,25)",충청남도 천안시 동남구 원성동 503-4 25 ,0041-0567-8961
사계절식당,충청남도 천안시 동남구 미나릿길 24 (영성동),충청남도 천안시 동남구 영성동 70-9 ,
배박사,충청남도 천안시 동남구 신부2길 8-4 (신부동),충청남도 천안시 동남구 신부동 475-6 ,0041-0558-2268
금수정장어구이,충청남도 천안시 동남구 충절로 379 (삼룡동),충청남도 천안시 동남구 삼룡동 287-1 , 041- 563-9430
대산정,충청남도 천안시 동남구 차돌고개3길 4 (다가동),충청남도 천안시 동남구 다가동 380-25 ,
동그라미식당,,충청남도 천안시 동남구 신부동 256-5 ,0041-0568-4544
낙타식당,충청남도 천안시 동남구 신원2길 80 (신부동),충청남도 천안시 동남구 신부동 491-2 ,041 -551 -5214
화성식당,충청남도 천안시 동남구 복자1길 25 (성황동),충청남도 천안시 동남구 성황동 5-33 , 041- 563-1550
옥수사,"충청남도 천안시 동남구 먹거리11길 17, 1층 (신부동)",충청남도 천안시 동남구 신부동 454-8 ,
베트남소울,충청남도 천안시 동남구 먹거리11길 17 (신부동),충청남도 천안시 동남구 신부동 454-8 ,
두끼,충청남도 천안시 동남구 먹거리11길 26 (신부동),충청남도 천안시 동남구 신부동 460-1 , 070-7579-1937
굴이야기,충청남도 천안시 동남구 신용로 21-1 (다가동),충청남도 천안시 동남구 다가동 353-14 , 041- 576-3456
형제식당,충청남도 천안시 동남구 봉명로 108 (봉명동),충청남도 천안시 동남구 봉명동 43-1 ,0041-0574-7098
만보성,충청남도 천안시 동남구 옛농고4길 21 (원성동),충청남도 천안시 동남구 원성동 135-14 , 041- 563-3350
스모프치킨피자,,충청남도 천안시 동남구 풍세면 남관리 637-1 ,
목골식당,충청남도 천안시 동남구 성남면 약수로 207,충청남도 천안시 동남구 성남면 대정리 59-3 ,0041-0553-0184
병천페리카나치킨,충청남도 천안시 동남구 병천면 아우내장터2길 46,충청남도 천안시 동남구 병천면 병천리 157-17 ,
유서방옛날통닭,충청남도 천안시 동남구 버들로 125 (원성동),충청남도 천안시 동남구 원성동 503-3 ,
리얼펍,충청남도 천안시 동남구 먹거리3길 14 (신부동),충청남도 천안시 동남구 신부동 456-17 ,
오복갈비,"충청남도 천안시 동남구 공설시장3길 11, 1층 (대흥동)",충청남도 천안시 동남구 대흥동 12 1층 ,041 -562 -8134
풍자네추어탕,충청남도 천안시 동남구 신부2길 8-9 (신부동),충청남도 천안시 동남구 신부동 474-6 , 041- 565-2192
주문진회,충청남도 천안시 동남구 풍세로 994 (청수동),충청남도 천안시 동남구 청수동 216-82 ,
곱창파이터,충청남도 천안시 동남구 먹거리11길 17 (신부동),충청남도 천안시 동남구 신부동 454-8 ,041 -566 -0809
달무리,"충청남도 천안시 동남구 풍세로 924, 1층 (청수동)",충청남도 천안시 동남구 청수동 232-4 1층 ,041 -551 -2380
신부동가정식백반,충청남도 천안시 동남구 터미널3길 23 (신부동),충청남도 천안시 동남구 신부동 720 ,041 -565 -6909
이모네식당,충청남도 천안시 동남구 사직2길 20 (사직동),충청남도 천안시 동남구 사직동 284-6 ,
만나식당,충청남도 천안시 동남구 원성25길 11 (원성동),충청남도 천안시 동남구 원성동 216-39 ,0041-0556-6177
페리카나치킨신부체인점,"충청남도 천안시 동남구 터미널5길 14, 1층 (신부동)",충청남도 천안시 동남구 신부동 683 ,041 -552 -4386
영순이네솥뚜껑삽겹살,충청남도 천안시 동남구 대흥로 99 (영성동),충청남도 천안시 동남구 영성동 120-1 ,
당진식당,충청남도 천안시 동남구 구성2길 1 (구성동),충청남도 천안시 동남구 구성동 476-11 ,
원조닭갈비,충청남도 천안시 동남구 신용로 11 (다가동),충청남도 천안시 동남구 다가동 351-25 ,
향단네치킨,"충청남도 천안시 동남구 중앙로 214, 1층 (신부동)","충청남도 천안시 동남구 신부동 452-1 외 1필지, 1층 ",041 -523 -9249
부영골,충청남도 천안시 동남구 버들1길 15-1 (영성동),충청남도 천안시 동남구 영성동 133-5 ,041 -523 -3203
수정양꼬치,"충청남도 천안시 동남구 중앙로 214 (신부동,외 1필지)",충청남도 천안시 동남구 신부동 452-1 외 1필지 ,041 -553 -2999
건강한밥상,충청남도 천안시 동남구 순천향4길 27 (봉명동),충청남도 천안시 동남구 봉명동 220-2 ,
우이네청국장,충청남도 천안시 동남구 충절로 210 (원성동),충청남도 천안시 동남구 원성동 563-5 ,041 -558 -5575
친구,"충청남도 천안시 동남구 신부2길 8-6, 지하1층 (신부동)",충청남도 천안시 동남구 신부동 475-5 지하1층 ,0041-0555-5302
45알피엠,충청남도 천안시 동남구 단대로 107 (신부동),충청남도 천안시 동남구 신부동 252-4 , 041- 553-9952
태백,"충청남도 천안시 동남구 단대로 113, 1층 (신부동)",충청남도 천안시 동남구 신부동 252-1 1층 ,041 -553 -4939
최반장대구막창,충청남도 천안시 동남구 봉정로 1 (봉명동),충청남도 천안시 동남구 봉명동 20-20 ,    -577 -2572
한춘정육점식당,"충청남도 천안시 동남구 신용로 8, 1층 (다가동)",충청남도 천안시 동남구 다가동 371-2 1층 , 041- 576-6633
인화광장,충청남도 천안시 동남구 신용로 6 (다가동),충청남도 천안시 동남구 다가동 371-1 ,041 -573 -1777
광시소머리국밥,충청남도 천안시 동남구 미나릿길 44 (영성동),충청남도 천안시 동남구 영성동 54-3 ,041 -558 -1123
천평분식,충청남도 천안시 동남구 봉명로 118 (봉명동),충청남도 천안시 동남구 봉명동 2-21 ,
육회한연어앤참치라이더,"충청남도 천안시 동남구 먹거리10길 22, 지하1층 (신부동)",충청남도 천안시 동남구 신부동 459-7 ,
연춘생선구이,충청남도 천안시 동남구 북면 충절로 1310,충청남도 천안시 동남구 북면 연춘리 105-1 ,
이모네한식부페,충청남도 천안시 동남구 풍세면 풍세로 463,충청남도 천안시 동남구 풍세면 남관리 144-2 ,
신양평해장국,"충청남도 천안시 동남구 목천읍 충절로 907, 2동 1층",충청남도 천안시 동남구 목천읍 신계리 166-11 2동 1층 , 041- 573-0255
하니치킨,충청남도 천안시 동남구 목천읍 서리1길 51,충청남도 천안시 동남구 목천읍 서리 99-3 ,
신토불이청국장,충청남도 천안시 동남구 병천면 충절로 1700,충청남도 천안시 동남구 병천면 병천리 343-5 ,041 -568 -8333
짬뽕플러스,충청남도 천안시 동남구 성남면 약수로 316,충청남도 천안시 동남구 성남면 석곡리 442-4 ,041 -565 -7456
시골손두부,충청남도 천안시 동남구 북면 충절로 1308,충청남도 천안시 동남구 북면 연춘리 107 ,041 -556 -9946
치킨더홈천안광덕점,충청남도 천안시 동남구 광덕면 차령고개로 1066,충청남도 천안시 동남구 광덕면 행정리 47-46 ,041 -544 -9300
초원식당,충청남도 천안시 동남구 동면 충절로 2247,충청남도 천안시 동남구 동면 동산리 546-2 ,
사랑방호프,충청남도 천안시 동남구 터미널3길 8 (신부동),충청남도 천안시 동남구 신부동 782 ,    - 553-5145
골목집식당,충청남도 천안시 동남구 대흥로 259-4 (대흥동),충청남도 천안시 동남구 대흥동 41-2 ,0041-0558-6654
한촌설렁탕,충청남도 천안시 동남구 만남로 43 (신부동),충청남도 천안시 동남구 신부동 354-1 ,041 -565 -4425
징기스칸양념치킨원성2동점,충청남도 천안시 동남구 고재20길 14 (원성동),충청남도 천안시 동남구 원성동 543-1 ,
순이네포차,충청남도 천안시 동남구 고재1길 27 (원성동),충청남도 천안시 동남구 원성동 564-3 ,041 -566 -9880
천수갈비,충청남도 천안시 동남구 원성16길 10 (원성동),충청남도 천안시 동남구 원성동 473-2 ,0041-0567-8060
만두나라,충청남도 천안시 동남구 중앙시장길 10 (사직동),충청남도 천안시 동남구 사직동 204-2 ,0041-0554-3321
오늘우리집비어,"충청남도 천안시 동남구 원거리6길 29, 1층 (원성동)",충청남도 천안시 동남구 원성동 562-2 ,0041-0569-9530
누나밥상,충청남도 천안시 동남구 원성4길 2 (원성동),충청남도 천안시 동남구 원성동 492-7 ,041 -561 -0418
홍성요식,충청남도 천안시 동남구 먹거리9길 22 (신부동),충청남도 천안시 동남구 신부동 458-4 ,
치킨인더키친,충청남도 천안시 동남구 먹거리8길 27-1 (신부동),충청남도 천안시 동남구 신부동 458-5 , 041- 556-9760
광명해장국,충청남도 천안시 동남구 풍세로 961 (다가동),충청남도 천안시 동남구 다가동 28-29 ,    - 562-9907
밀과보리고향식당,"충청남도 천안시 동남구 청수7로 6-47, 1층 (청당동)",충청남도 천안시 동남구 청당동 797 ,041 -551 -9488
신성생태찌개,,충청남도 천안시 동남구 안서동 467-18 ,0041-0562-9997
낙지도사,"충청남도 천안시 동남구 백석로 184, 1층 (봉명동)",충청남도 천안시 동남구 봉명동 162-1 1층 , 041- 592-8892
배부른돼지,충청남도 천안시 동남구 터미널8길 16 (신부동),충청남도 천안시 동남구 신부동 703 , 041- 555-1002
가산,충청남도 천안시 동남구 태조산길 179-17 (유량동),충청남도 천안시 동남구 유량동 132-1 , 041- 562-6715
청룡식당구성점,"충청남도 천안시 동남구 대흥로 9, 1층 (구성동)",충청남도 천안시 동남구 구성동 314-15 1층 ,041 -567 -9944
오공반점,충청남도 천안시 동남구 수선정길 24 (영성동),충청남도 천안시 동남구 영성동 52-5 , 041- 562-2839
산골집,충청남도 천안시 동남구 목천읍 이동녕길 16,충청남도 천안시 동남구 목천읍 동리 139 , 041- 557-2007
황태나라,충청남도 천안시 동남구 북면 충절로 1290,충청남도 천안시 동남구 북면 연춘리 120-4 ,041 -555 -7803
수신치킨호프,"충청남도 천안시 동남구 수신면 수신로 424, 1층",충청남도 천안시 동남구 수신면 속창리 126-18 1층 ,041 -552 -9020
맥시카나양념통닭,충청남도 천안시 동남구 풍세면 풍년길 32,충청남도 천안시 동남구 풍세면 풍서리 676-9 ,
일송정,충청남도 천안시 동남구 목천읍 종합휴양지로 58-33,충청남도 천안시 동남구 목천읍 운전리 408-1 외 1필지 ,
공원식당,충청남도 천안시 동남구 목천읍 응원3길 31,충청남도 천안시 동남구 목천읍 응원리 66-4 ,
예산야식,충청남도 천안시 동남구 고재20길 9 (원성동),충청남도 천안시 동남구 원성동 544-10 ,041 -566 -5362
낙지한마리수제비,"충청남도 천안시 동남구 대흥로 8, 1층 (구성동)",충청남도 천안시 동남구 구성동 468-4 1층 ,041 -567 -8200
어머니뚝배기 I,,충청남도 천안시 동남구 안서동 358-18 ,0041-0568-7725
한상,"충청남도 천안시 동남구 버들9길 6, 1층 (원성동)",충청남도 천안시 동남구 원성동 299-3 1층 ,
광화문집,"충청남도 천안시 동남구 원성2교길 49, 1층 (원성동)",충청남도 천안시 동남구 원성동 121-4 1층 ,041 -553 -5252
열두시푸드,충청남도 천안시 동남구 원성4길 46 (원성동),충청남도 천안시 동남구 원성동 450-1 ,0041-0553-7137
홍성식당,"충청남도 천안시 동남구 원거리4길 18 (원성동,, 101호)","충청남도 천안시 동남구 원성동 590-9 , 101호 ",0041-0553-7494
진진옥,"충청남도 천안시 동남구 용곡1길 10, 1층 (다가동)",충청남도 천안시 동남구 다가동 405-11 1층 ,041 -575 -1127
참두꺼비,충청남도 천안시 동남구 고재1길 52 (원성동),충청남도 천안시 동남구 원성동 543 ,041 -523 -0089
동양식당,충청남도 천안시 동남구 태조산길 169 (유량동),충청남도 천안시 동남구 유량동 130-10 ,
이름없는술집,"충청남도 천안시 동남구 고재4길 6, 1층 (원성동)",충청남도 천안시 동남구 원성동 652 1층 , 041- 567-3072
옥이네백반집,충청남도 천안시 동남구 중앙로 55 (영성동),충청남도 천안시 동남구 영성동 6-8 , 041- 563-2647
목화지하식당,충청남도 천안시 동남구 대흥로 138 (사직동),충청남도 천안시 동남구 사직동 214-1 , 041- 567-1172
성하막국수,충청남도 천안시 동남구 차돌로 2 (다가동),충청남도 천안시 동남구 다가동 373-7 ,0041-0579-8887
계명집,"충청남도 천안시 동남구 미나릿길 36, 1층 (영성동)",충청남도 천안시 동남구 영성동 56-12 1층 ,041 -556 -9662
헤르한,충청남도 천안시 동남구 먹거리8길 16 (신부동),충청남도 천안시 동남구 신부동 372-61 ,041 - 563-3601
또순네분식,충청남도 천안시 동남구 대흥로 40 (구성동),충청남도 천안시 동남구 구성동 483-9 ,
삼복식당,충청남도 천안시 동남구 미나릿길 33 (영성동),충청남도 천안시 동남구 영성동 77-13 ,0041-0554-3033
원조 유량생태전문,충청남도 천안시 동남구 태조산길 177 (유량동),충청남도 천안시 동남구 유량동 129-2 ,
멍석골백반,충청남도 천안시 동남구 충절로 492 (삼룡동),충청남도 천안시 동남구 삼룡동 95-6 ,041 -554 -2846
292짬떡,충청남도 천안시 동남구 신부11길 17 (신부동),충청남도 천안시 동남구 신부동 487-7 ,0041-0565-1271
예전식당,"충청남도 천안시 동남구 풍세면 풍년길 47, 1층",충청남도 천안시 동남구 풍세면 풍서리 415-2 ,
박순자아우내순대,충청남도 천안시 동남구 병천면 아우내순대길 47,충청남도 천안시 동남구 병천면 병천리 173-6 ,0041-0564-1242
마리노치킨,"충청남도 천안시 동남구 성남면 신사대화로 127, 1층",충청남도 천안시 동남구 성남면 신사리 419-8 ,
